city_id,city_name,longitude,latitude,region,2025_est_population
1,Alaminos,119.9811,16.1561,1,31427
2,Angeles City,120.5833,15.15,3,299391
3,Antipolo,121.19,15.6181,4A,549543
4,Bacolod,123.5085,12.2285,6,454898
5,Bacoor,120.929,14.459,4A,356974
6,Bago City,122.8333,10.5333,NIR,150250
7,Baguio,120.5931,16.4164,CAR,272714
8,Bais,123.1228,9.5911,7,65594
9,Balanga,120.5361,14.6761,3,53542
10,Batac City,120.5649,18.0554,1,53542
11,Batangas City,121.05,13.75,4A,237370
12,Bayawan,122.8011,9.3636,7,36063
13,Baybay,123.7135,13.4083,8,17668
14,Bayugan,125.7675,8.7561,13,40561
15,Bislig,125.0336,11.0725,13,67567
16,Binan,121.0807,14.3427,4A,300000
17,Bogo,124.0055,11.0517,7,23562
18,Borongan,125.4319,11.6081,8,16484
19,Butuan,125.5436,8.9492,13,309709
20,Cabadbaran,125.5344,9.1236,13,31114
21,Cabanatuan City,120.9667,15.4833,3,220250
22,Cabuyao,121.1262,14.2726,4A,308745
23,Cadiz,123.2856,10.9506,NIR,129053
24,Cagayan de Oro,124.6472,8.4822,10,445103
25,Calaca,120.8133,13.9324,4A,37443
26,Calamba,121.1653,14.2117,4A,316612
27,Calapan,121.1803,13.4117,MIMAROPA,66008
28,Calbayog City,124.6,12.0667,8,67921
29,Caloocan City,120.9667,14.65,NCR,1500000
30,Candon,120.4517,17.1947,1,11236
31,Canlaon,123.1964,10.3864,7,44851
32,Carcar,123.6402,10.1061,7,40739
33,Carmona,121.0576,14.3132,4A,55887
34,Catbalogan,124.8861,11.7753,8,68081
35,Cauayan,121.7725,16.9347,2,178879
36,Cavite City,120.9169,14.4825,4A,115932
37,Cebu City,123.8907,10.3167,7,798634
38,City of Marikina,121.1,14.6333,NCR,493543
39,City of Masbate,123.5833,12.3333,5,47490
40,City of Passi,122.65,11.15,6,42794
41,City of Sorsogon,123.9833,12.9833,5,82730
42,Cotabato,124.2464,7.2236,BARMM,179433
43,Dagupan,121.5047,17.7061,1,171271
44,Danao,124.0272,10.5208,7,70270
45,Dapitan,123.9469,10.2706,9,50514
46,Dasmarinas,120.9367,14.3294,4A,441876
47,Davao,125.6128,7.0731,11,2033990
48,Digos,125.3572,6.7497,11,116122
49,Dipolog,123.3414,8.5894,9,93082
50,Dumaguete,123.3081,9.3103,7,113541
51,El Salvador,124.5225,8.5631,10,58397
52,Escalante,123.4992,10.8403,NIR,39177
53,Gapan,120.9464,15.3072,3,79064
54,General Santos,125.1717,6.1128,12,679588
55,General Trias,120.8817,14.3869,4A,96022
56,Gingoog City,125.1167,8.8333,10,136698
57,Himamaylan,122.8706,10.0989,NIR,25089
58,Ilagan,121.8892,17.1485,2,72363
59,Iligan City,124.4,8.25,10,312323
60,Iloilo City,122.55,10.75,6,387681
61,Imus,120.9367,14.4297,4A,216099
62,Iriga City,123.4167,13.4167,5,94846
63,Isabela,122.9888,10.2048,NIR,67336
64,Kabankalan,122.8122,9.9889,NIR,136483
65,Kidapawan,125.0894,7.0083,12,79652
66,Koronadal,124.8469,6.5031,12,125503
67,La Carlota,122.9208,10.4233,NIR,41157
68,Lamitan,125.7022,6.0872,BARMM,100150
69,Laoag,120.5936,18.1989,1,102105
70,Lapu-Lapu City,123.9494,10.3103,7,350467
71,Las Pinas,120.9828,14.4506,NCR,590000
72,Legazpi City,123.7333,13.1333,5,179481
73,Ligao,123.5325,13.2403,5,10295
74,Lipa City,121.1667,13.95,4A,212287
