city_name,datetime,main_aqi,carbon_monoxide_components,nitrogen_oxide_components,nitrogen_dioxide_components,trioxygen_component,sulfur_dioxide_component,fine_particulate_matter,particulate_matter_10,ammonia_component
Alaminos,2025-01-01 00:00:00+08:00,2,367.17,0,2.1,67.95,0.8,13.4,15.15,1.95
Angeles City,2025-01-01 00:00:03+08:00,2,594.14,0.05,11.82,11.44,2.12,14.98,19.22,4.02
Antipolo,2025-01-01 00:00:05+08:00,1,327.11,0,3.13,32.9,0.51,5.38,6.57,1.69
Bacolod,2025-01-01 00:00:06+08:00,1,208.62,0,1.15,37.91,2.74,3.25,3.49,0.25
Bacoor,2025-01-01 00:00:09+08:00,3,1588.82,11.4,50.72,0,30.52,46.08,69.62,9.63
Bago City,2025-01-01 00:00:10+08:00,1,243.66,0,2.34,35.41,1.09,3.3,4.2,0.6
Baguio,2025-01-01 00:00:12+08:00,2,627.52,0.01,11.14,15.91,2.86,22.45,26.07,2.91
Bais,2025-01-01 00:00:15+08:00,1,263.69,0,2.74,29.33,0.51,7.08,7.66,1.54
Balanga,2025-01-01 00:00:17+08:00,1,343.8,0,5.44,33.62,2.33,5.04,9.77,1.6
Batac City,2025-01-01 00:00:19+08:00,2,247,0,0.74,78.68,0.25,4.79,6.1,0.31
Batangas City,2025-01-01 00:00:22+08:00,1,357.15,0.08,15.42,14.48,7.03,6.48,10.29,3.33
Bayawan,2025-01-01 00:00:24+08:00,1,280.38,0,2.72,26.82,0.43,7.77,8.37,1.38
Baybay,2025-01-01 00:00:25+08:00,1,216.96,0,0.56,42.92,8.58,3.37,3.86,0.03
Bayugan,2025-01-01 00:00:27+08:00,1,277.04,0.35,5.44,0.34,1.27,6.8,7.82,3.04
Bislig,2025-01-01 00:00:30+08:00,1,487.33,0.21,15.77,5.99,1.59,7.36,8.78,2.57
Binan,2025-01-01 00:00:32+08:00,1,323.77,0.01,13.71,31.11,17.17,4.92,9.02,2.66
Bogo,2025-01-01 00:00:35+08:00,1,216.96,0,1.63,30.4,0.31,1.26,1.58,0.36
Borongan,2025-01-01 00:00:37+08:00,1,180.24,0.01,1.16,20.21,0.25,0.81,1.14,0.23
Butuan,2025-01-01 00:00:39+08:00,1,247,0,2.1,17.52,0.34,2.06,2.32,0.9
